WikidataOrg,Organisation,WikidataTalare,TalareString,Title,Start,WikidataSubject,GITHUB,Datum,Agenda,Slides,Url video av presentationen
https://www.wikidata.org/wiki/Q7315107,Rise,,,Communityhälsa och säkerhet vid val av öppen källkod,,Q39162,,,,,https://data.jobtechdev.se/videos/nosad-20220301-halsa-sakerhet-oppen-programvara-2560x1440.mp4
https://www.wikidata.org/wiki/Q7315107,Rise,,Daniel Rudmark,Svenska städers behov av digital infrastruktur,,Q1047251,,,,,https://www.youtube-nocookie.com/embed/qFA3nE_mE2U/
https://www.wikidata.org/wiki/Q10660860,Sambruk,,Göran Westerlund,Öppen källkod som bas i den digitala allemansrätten,03:58:00,"Q39162, Q114350971",,2021-06-02,https://www.goto10.se/event/oppen-kallkod-som-en-del-av-den-digitala-allemansratten/,,https://www.youtube-nocookie.com/embed/t5S7fSPgWOc/
https://www.wikidata.org/wiki/Q1472511,SCB,,Petros Likidis,Policy för öppen programvara,01:04:00,Q39162,,,,,https://data.jobtechdev.se/videos/nosad-20210112-policy-oppen-programvara-myndigheter-1920x1080.mp4
https://www.wikidata.org/wiki/Q1472511,SCB,,Hakim Sjöström,Så jobbar offentlig sektor open source,11:00,Q39162,,2022-04-20,https://www.goto10.se/event/hur-offentlig-sektor-jobbar-med-open-source/,,https://data.jobtechdev.se/videos/nosad-220420-offentlig-sektor-open-source_1920x890.mp4
https://www.wikidata.org/wiki/Q1472511,SCB,,Marie Haldorson,Nationella datastrategin och EU:s dataområden,,,,2022-05-03,https://www.goto10.se/event/nosad-natverkande-kring-oppna-data-och-oppen-kallkod-6/,,https://data.jobtechdev.se/videos/nosad-20220503-datadriven-utveckling-nationella-datastrategin-europeiska-dataomraden_2256x1444.mp4
https://www.wikidata.org/wiki/Q2983328,SMHI,,Josefina Algotsson,Länkade data,45:00:00,Q515701,,,,,https://www.youtube-nocookie.com/embed/fkgKoN0NkeM/
https://www.wikidata.org/wiki/Q1782920,SNSA,,,Nationella datastrategin och EU:s dataområden,,,,2022-05-03,https://www.goto10.se/event/nosad-natverkande-kring-oppna-data-och-oppen-kallkod-6/,,https://data.jobtechdev.se/videos/nosad-20220503-datadriven-utveckling-nationella-datastrategin-europeiska-dataomraden_2256x1444.mp4
https://www.wikidata.org/wiki/Q836916,Skatteverket,,Arman Borghem,Öppna standarder,34:50:00,Q681263,,2021-05-04,https://nosad.se/workshops#%C3%B6ppna-standarder,,https://www.youtube-nocookie.com/embed/W1k12G4stdA/
https://www.wikidata.org/wiki/Q836916,Skatteverket,,,Introduktion till öppen programvara,,Q39162,,,,,https://www.youtube.com/watch?v=jxxiqFyZhDU
https://www.wikidata.org/wiki/Q506250,Stockholms stad,,,Svenska städers behov av digital infrastruktur,,Q1047251,,,,,https://www.youtube-nocookie.com/embed/qFA3nE_mE2U/
